nc_file,variable,band,year,scenario,output_name
LU-MESSAGE-GLOBIOM-RCP1p9-SPA1-SSP1-27Nov24.nc,cropland_2Gbioen,band_10,2020,SSP1-19,GLOBIOM_Bioenergy_SSP1-19_2020.tif
LU-MESSAGE-GLOBIOM-RCP1p9-SPA2-SSP2-27Nov24.nc,cropland_2Gbioen,band_10,2020,SSP2-19,GLOBIOM_Bioenergy_SSP2-19_2020.tif
LU-MESSAGE-GLOBIOM-RCP2p6-SPA1-SSP1-27Nov24.nc,cropland_2Gbioen,band_10,2020,SSP1-26,GLOBIOM_Bioenergy_SSP1-26_2020.tif
LU-MESSAGE-GLOBIOM-RCP2p6-SPA2-SSP2-27Nov24.nc,cropland_2Gbioen,band_10,2020,SSP2-26,GLOBIOM_Bioenergy_SSP2-26_2020.tif
LU-MESSAGE-GLOBIOM-RCP3p7-SPA1-SSP1-27Nov24.nc,cropland_2Gbioen,band_10,2020,SSP1-34,GLOBIOM_Bioenergy_SSP1-34_2020.tif
LU-MESSAGE-GLOBIOM-RCP3p7-SPA2-SSP2-27Nov24.nc,cropland_2Gbioen,band_10,2020,SSP2-34,GLOBIOM_Bioenergy_SSP2-34_2020.tif
LU-MESSAGE-GLOBIOM-RCP3p7-SPA3-SSP3-27Nov24.nc,cropland_2Gbioen,band_10,2020,SSP3-34,GLOBIOM_Bioenergy_SSP3-34_2020.tif
LU-MESSAGE-GLOBIOM-RCP4p5-SPA1-SSP1-27Nov24.nc,cropland_2Gbioen,band_10,2020,SSP1-45,GLOBIOM_Bioenergy_SSP1-45_2020.tif
LU-MESSAGE-GLOBIOM-RCP4p5-SPA2-SSP2-27Nov24.nc,cropland_2Gbioen,band_10,2020,SSP2-45,GLOBIOM_Bioenergy_SSP2-45_2020.tif
LU-MESSAGE-GLOBIOM-RCP4p5-SPA3-SSP3-27Nov24.nc,cropland_2Gbioen,band_10,2020,SSP3-45,GLOBIOM_Bioenergy_SSP3-45_2020.tif
LU-MESSAGE-GLOBIOM-RCP6p0-SPA1-SSP1-27Nov24.nc,cropland_2Gbioen,band_10,2020,SSP1-60,GLOBIOM_Bioenergy_SSP1-60_2020.tif
