nc_file,variable,band,year,scenario,output_name
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2020,SSP1-19,MAgPIE_energy_crops_ir_SSP1-19_2020.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2030,SSP1-19,MAgPIE_energy_crops_ir_SSP1-19_2030.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2040,SSP1-19,MAgPIE_energy_crops_ir_SSP1-19_2040.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2050,SSP1-19,MAgPIE_energy_crops_ir_SSP1-19_2050.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2060,SSP1-19,MAgPIE_energy_crops_ir_SSP1-19_2060.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2070,SSP1-19,MAgPIE_energy_crops_ir_SSP1-19_2070.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2080,SSP1-19,MAgPIE_energy_crops_ir_SSP1-19_2080.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2090,SSP1-19,MAgPIE_energy_crops_ir_SSP1-19_2090.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2100,SSP1-19,MAgPIE_energy_crops_ir_SSP1-19_2100.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2020,SSP1-19,MAgPIE_energy_crops_rf_SSP1-19_2020.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2030,SSP1-19,MAgPIE_energy_crops_rf_SSP1-19_2030.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2040,SSP1-19,MAgPIE_energy_crops_rf_SSP1-19_2040.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2050,SSP1-19,MAgPIE_energy_crops_rf_SSP1-19_2050.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2060,SSP1-19,MAgPIE_energy_crops_rf_SSP1-19_2060.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2070,SSP1-19,MAgPIE_energy_crops_rf_SSP1-19_2070.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2080,SSP1-19,MAgPIE_energy_crops_rf_SSP1-19_2080.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2090,SSP1-19,MAgPIE_energy_crops_rf_SSP1-19_2090.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2100,SSP1-19,MAgPIE_energy_crops_rf_SSP1-19_2100.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,forest,Land Cover|Forest,2010,SSP1-19,MAgPIE_forest_total_SSP1-19_2010.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,forest,Land Cover|Forest,2020,SSP1-19,MAgPIE_forest_total_SSP1-19_2020.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,forest,Land Cover|Forest,2030,SSP1-19,MAgPIE_forest_total_SSP1-19_2030.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,forest,Land Cover|Forest,2040,SSP1-19,MAgPIE_forest_total_SSP1-19_2040.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,forest,Land Cover|Forest,2050,SSP1-19,MAgPIE_forest_total_SSP1-19_2050.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,forest,Land Cover|Forest,2060,SSP1-19,MAgPIE_forest_total_SSP1-19_2060.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,forest,Land Cover|Forest,2070,SSP1-19,MAgPIE_forest_total_SSP1-19_2070.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,forest,Land Cover|Forest,2080,SSP1-19,MAgPIE_forest_total_SSP1-19_2080.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,forest,Land Cover|Forest,2090,SSP1-19,MAgPIE_forest_total_SSP1-19_2090.tif
SSP1-19-SPA1-V16_LandCover_V2.nc,forest,Land Cover|Forest,2100,SSP1-19,MAgPIE_forest_total_SSP1-19_2100.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2020,SSP1-26,MAgPIE_energy_crops_ir_SSP1-26_2020.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2030,SSP1-26,MAgPIE_energy_crops_ir_SSP1-26_2030.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2040,SSP1-26,MAgPIE_energy_crops_ir_SSP1-26_2040.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2050,SSP1-26,MAgPIE_energy_crops_ir_SSP1-26_2050.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2060,SSP1-26,MAgPIE_energy_crops_ir_SSP1-26_2060.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2070,SSP1-26,MAgPIE_energy_crops_ir_SSP1-26_2070.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2080,SSP1-26,MAgPIE_energy_crops_ir_SSP1-26_2080.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2090,SSP1-26,MAgPIE_energy_crops_ir_SSP1-26_2090.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2100,SSP1-26,MAgPIE_energy_crops_ir_SSP1-26_2100.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2020,SSP1-26,MAgPIE_energy_crops_rf_SSP1-26_2020.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2030,SSP1-26,MAgPIE_energy_crops_rf_SSP1-26_2030.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2040,SSP1-26,MAgPIE_energy_crops_rf_SSP1-26_2040.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2050,SSP1-26,MAgPIE_energy_crops_rf_SSP1-26_2050.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2060,SSP1-26,MAgPIE_energy_crops_rf_SSP1-26_2060.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2070,SSP1-26,MAgPIE_energy_crops_rf_SSP1-26_2070.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2080,SSP1-26,MAgPIE_energy_crops_rf_SSP1-26_2080.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2090,SSP1-26,MAgPIE_energy_crops_rf_SSP1-26_2090.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2100,SSP1-26,MAgPIE_energy_crops_rf_SSP1-26_2100.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,forest,Land Cover|Forest,2010,SSP1-26,MAgPIE_forest_total_SSP1-26_2010.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,forest,Land Cover|Forest,2020,SSP1-26,MAgPIE_forest_total_SSP1-26_2020.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,forest,Land Cover|Forest,2030,SSP1-26,MAgPIE_forest_total_SSP1-26_2030.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,forest,Land Cover|Forest,2040,SSP1-26,MAgPIE_forest_total_SSP1-26_2040.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,forest,Land Cover|Forest,2050,SSP1-26,MAgPIE_forest_total_SSP1-26_2050.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,forest,Land Cover|Forest,2060,SSP1-26,MAgPIE_forest_total_SSP1-26_2060.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,forest,Land Cover|Forest,2070,SSP1-26,MAgPIE_forest_total_SSP1-26_2070.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,forest,Land Cover|Forest,2080,SSP1-26,MAgPIE_forest_total_SSP1-26_2080.tif
SSP1-26-SPA1-V15_LandCover_V2.nc,forest,Land Cover|Forest,2090,SSP1-26,MAgPIE_forest_total_SSP1-26_2090.tif
